Frame,X,Y,Confidence
0,1123.0,391.0,1.0
1,1136.0,360.5,1.0
2,1149.5,333.5,1.0
3,1165.0,307.0,1.0
4,1179.5,284.0,1.0
5,1192.0,263.0,1.0
6,1204.5,244.0,1.0
7,1216.0,225.0,1.0
8,1227.5,213.5,0.5
9,1239.5,202.5,0.5
10,1251.5,191.0,1.0
11,1257.5,182.0,1.0
12,1266.5,173.5,1.0
13,1279.0,164.0,1.0
14,1290.5,153.5,1.0
15,1305.0,145.5,1.0
16,1316.0,138.5,1.0
17,1334.0,129.5,1.0
18,1347.5,126.5,1.0
19,1356.0,122.5,1.0
20,1347.5,119.0,1.0
21,1341.0,118.0,1.0
22,1335.0,116.0,1.0
23,1329.0,117.5,1.0
24,1325.0,118.5,1.0
25,1315.0,121.5,1.0
26,1311.0,125.0,1.0
27,1305.0,129.0,1.0
28,1300.5,138.0,1.0
29,1290.5,145.5,1.0
30,1286.0,153.5,1.0
31,1279.5,166.5,1.0
32,1276.0,177.5,1.0
33,1266.5,192.5,1.0
34,1261.0,207.5,0.5
35,1255.0,222.5,1.0
36,1251.5,241.5,1.0
37,1241.5,259.5,1.0
38,1236.5,282.0,1.0
39,1209.0,307.5,1.0
40,1180.5,333.0,1.0
41,1148.5,361.5,1.0
42,1116.5,392.0,1.0
43,1086.5,422.5,1.0
44,1049.5,462.0,0.5
45,1012.5,501.5,0.5
46,975.5,540.5,0.5
47,938.5,580.0,0.5
48,902.0,620.0,1.0
49,859.0,671.0,1.0
50,825.0,689.0,0.5
51,790.5,707.5,0.5
52,756.0,726.0,1.0
53,724.0,738.5,1.0
54,687.0,751.0,1.0
55,649.0,769.5,0.5
56,611.5,788.0,0.5
57,574.0,806.5,1.0
58,536.0,824.5,1.0
59,522.5,804.0,1.0
60,511.0,788.5,0.5
61,500.0,773.5,0.5
62,488.5,758.0,1.0
63,476.0,749.5,1.0
64,467.0,741.0,1.0
65,459.0,736.0,1.0
66,484.5,704.0,0.5
67,510.5,672.0,1.0
68,559.5,623.0,1.0
69,603.0,584.5,1.0
70,644.5,547.5,1.0
71,678.0,523.0,0.5
72,712.0,498.5,0.5
73,745.5,473.5,0.5
74,779.0,449.5,0.5
75,813.0,424.5,0.5
76,846.5,400.0,1.0
77,873.0,384.5,1.0
78,898.0,372.0,1.0
79,921.0,362.5,1.0
80,934.5,359.0,0.5
81,947.5,355.5,0.5
82,961.5,352.5,0.5
83,974.5,349.0,0.5
84,988.0,345.5,1.0
85,987.5,350.5,1.0
86,987.0,358.0,1.0
87,986.0,365.5,1.0
88,980.5,375.0,1.0
89,980.0,383.5,1.0
90,978.5,395.5,1.0
91,975.5,410.0,1.0
92,974.0,425.5,0.5
93,972.5,441.5,1.0
94,973.5,458.5,1.0
95,971.0,483.0,0.5
96,968.5,507.5,0.5
97,966.0,532.0,1.0
98,964.5,557.0,1.0
99,965.0,584.5,1.0
100,964.5,616.5,1.0
101,964.0,652.0,1.0
102,984.5,572.5,0.5
103,1005.0,493.0,0.5
104,1025.5,413.5,1.0
105,966.5,729.5,1.0
106,967.5,729.5,1.0
107,971.5,731.0,1.0
108,974.5,734.5,1.0
109,975.5,741.5,1.0
110,977.5,748.5,1.0
111,979.5,759.5,1.0
112,981.0,773.0,1.0
113,980.5,747.5,0.5
114,980.0,721.5,1.0
115,977.0,668.0,1.0
116,973.0,622.0,1.0
117,967.5,579.5,1.0
118,964.0,552.0,0.5
119,961.0,523.5,0.5
120,958.0,495.5,0.5
121,955.0,468.0,0.5
122,952.0,440.0,1.0
123,948.5,423.0,1.0
124,946.0,408.5,1.0
125,943.0,394.0,1.0
126,941.5,385.0,1.0
127,940.5,376.5,1.0
128,939.0,370.5,1.0
129,938.5,365.0,1.0
130,930.5,361.0,1.0
131,931.0,366.0,1.0
132,939.0,373.0,1.0
133,940.5,384.5,1.0
134,942.0,394.5,1.0
135,945.0,411.0,1.0
136,948.0,424.0,1.0
137,952.5,446.5,0.5
138,956.5,469.0,0.5
139,961.0,492.0,0.5
140,966.0,514.0,0.5
141,970.0,537.0,0.5
142,974.5,559.0,1.0
143,978.0,587.0,1.0
144,980.5,620.0,1.0
145,988.0,654.0,1.0
146,993.0,690.5,1.0
147,997.0,722.0,1.0
148,1001.5,729.5,1.0
149,1005.5,738.5,1.0
150,1012.5,749.5,1.0
151,1017.5,761.0,1.0
152,1023.0,780.0,1.0
153,1027.5,798.5,1.0
154,1027.0,783.0,1.0
155,1019.0,726.5,0.5
156,1011.0,670.5,1.0
157,1003.0,615.5,1.0
158,995.5,566.5,1.0
159,988.0,524.5,1.0
160,980.0,485.0,0.5
161,972.0,446.0,0.5
162,964.0,406.5,0.5
163,956.0,366.5,1.0
164,947.5,336.5,1.0
165,942.0,310.5,1.0
166,933.5,287.5,1.0
167,928.0,265.0,1.0
168,921.0,245.0,1.0
169,915.0,232.0,0.5
170,910.0,219.5,0.5
171,904.0,206.5,0.5
172,898.0,193.5,0.5
173,892.5,180.5,1.0
174,887.0,174.5,0.5
175,881.5,169.0,1.0
176,958.5,254.0,0.5
177,1035.5,338.5,1.0
178,867.5,162.5,1.0
179,860.5,163.5,1.0
180,857.5,163.0,1.0
181,852.0,166.0,1.0
182,848.0,170.5,1.0
183,844.5,177.0,1.0
184,836.5,183.0,1.0
185,868.5,240.0,0.5
186,900.0,297.5,0.5
187,931.5,354.5,0.5
188,962.5,412.0,0.5
189,994.0,469.5,0.5
190,1025.5,526.5,0.5
191,1056.5,584.0,1.0
192,1089.5,570.0,1.0
193,1123.5,559.0,1.0
194,1161.0,548.5,1.0
195,1205.0,593.0,0.5
196,1249.0,638.0,0.5
197,1292.5,682.5,1.0
198,1306.0,634.5,0.5
199,1318.5,586.0,0.5
200,1332.0,537.0,0.5
201,1345.0,489.0,1.0
202,1317.0,464.0,1.0
203,1292.5,443.0,0.5
204,1267.5,422.0,1.0
205,1250.0,411.0,1.0
206,1229.5,399.0,1.0
207,1208.5,389.0,1.0
208,1189.5,380.5,1.0
209,1171.5,378.0,1.0
210,1157.5,375.5,1.0
211,1141.0,373.0,1.0
212,1128.0,376.5,0.5
213,1114.5,380.5,0.5
214,1101.5,383.5,0.5
215,1088.0,387.0,0.5
216,1075.0,391.0,0.5
217,1062.0,394.0,1.0
218,1051.0,402.5,1.0
219,1128.5,498.5,0.5
220,1206.0,594.5,0.5
221,1283.5,690.5,1.0
222,1013.0,447.0,1.0
223,1002.0,452.0,1.0
224,998.5,430.5,0.5
225,995.5,409.0,1.0
226,992.0,390.5,1.0
227,989.0,374.5,1.0
228,987.5,361.0,1.0
229,986.5,346.5,1.0
230,979.5,336.5,1.0
231,977.5,325.0,1.0
232,971.5,320.0,1.0
233,951.5,331.5,1.0
234,930.5,344.0,1.0
235,906.5,360.0,1.0
236,881.5,382.0,0.5
237,856.0,404.5,0.5
238,830.5,426.5,0.5
239,805.5,448.5,0.5
240,780.0,470.5,0.5
241,755.0,492.5,0.5
242,729.5,515.0,0.5
243,704.0,537.0,1.0
244,675.5,568.0,1.0
245,644.5,601.0,1.0
246,614.0,636.0,1.0
247,581.0,676.0,1.0
248,546.0,718.0,1.0
249,514.5,758.5,1.0
250,484.5,761.5,1.0
251,453.5,769.0,0.5
252,423.0,776.0,1.0
253,393.0,784.0,1.0
254,358.5,799.0,1.0
255,325.0,813.5,1.0
256,291.0,831.5,1.0
257,253.5,850.0,1.0
258,245.0,846.5,1.0
259,247.5,832.0,1.0
260,248.0,817.5,1.0
261,247.0,807.5,1.0
262,249.5,797.5,1.0
263,249.5,790.5,1.0
264,283.5,787.5,1.0
265,319.0,745.5,0.5
266,354.0,703.0,0.5
267,389.0,661.0,0.5
268,424.5,619.0,1.0
269,457.0,580.0,1.0
270,490.0,543.0,1.0
271,518.0,512.5,0.5
272,546.5,482.5,1.0
273,574.0,456.0,1.0
274,597.5,435.5,1.0
275,630.5,413.5,1.0
276,651.5,402.0,0.5
277,672.5,390.5,0.5
278,692.5,379.0,0.5
279,713.5,367.5,0.5
280,734.0,356.0,0.5
281,754.5,344.5,1.0
282,743.5,368.5,0.5
283,732.5,392.5,0.5
284,721.0,416.0,0.5
285,710.0,440.0,0.5
286,699.0,464.0,0.5
287,687.5,488.0,0.5
288,676.5,512.0,0.5
289,665.5,535.5,1.0
290,659.0,533.5,1.0
291,657.0,519.5,0.5
292,654.5,505.5,0.5
293,652.0,491.5,1.0
294,648.5,482.0,0.5
295,644.5,473.0,1.0
296,642.5,466.0,1.0
297,640.5,460.0,1.0
298,637.0,456.5,1.0
299,635.0,455.0,1.0
300,632.5,454.5,1.0
301,630.0,455.0,1.0
302,628.5,457.0,1.0
303,626.5,463.0,1.0
304,621.0,468.5,1.0
305,620.0,475.5,1.0
306,618.0,484.5,1.0
307,616.0,496.0,1.0
308,616.5,494.5,0.5
309,617.5,493.5,0.5
310,617.5,492.0,0.5
311,618.0,490.5,0.5
312,618.5,490.0,0.5
313,619.0,488.5,0.5
314,619.5,487.5,0.5
315,619.5,486.0,0.5
316,620.0,485.5,0.5
317,621.0,484.0,1.0
318,626.5,456.5,1.0
319,628.5,434.5,1.0
320,635.5,406.0,1.0
321,639.5,385.0,1.0
322,644.0,362.5,1.0
