frame,x_0,y_0,dx_0,dy_0,velocity_0,acceleration_0,x_1,y_1,dx_1,dy_1,velocity_1,acceleration_1,x_2,y_2,dx_2,dy_2,velocity_2,acceleration_2,x_3,y_3,dx_3,dy_3,velocity_3,acceleration_3,x_4,y_4,dx_4,dy_4,velocity_4,acceleration_4,x_5,y_5,dx_5,dy_5,velocity_5,acceleration_5,x_6,y_6,dx_6,dy_6,velocity_6,acceleration_6,x_7,y_7,dx_7,dy_7,velocity_7,acceleration_7,x_8,y_8,dx_8,dy_8,velocity_8,acceleration_8,x_9,y_9,dx_9,dy_9,velocity_9,acceleration_9,x_10,y_10,dx_10,dy_10,velocity_10,acceleration_10,x_11,y_11,dx_11,dy_11,velocity_11,acceleration_11,x_12,y_12,dx_12,dy_12,velocity_12,acceleration_12,x_13,y_13,dx_13,dy_13,velocity_13,acceleration_13,x_14,y_14,dx_14,dy_14,velocity_14,acceleration_14
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.6229248046875,391.8126983642578,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.6229248046875,391.8126983642578,0.0,0.0,0.0,0.0,1136.4794384219172,360.9326759645398,12.856513617229666,-30.88002239971803,33.44945030635181,33.44945030635181
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.6229248046875,391.8126983642578,0.0,0.0,0.0,0.0,1136.4794384219172,360.9326759645398,12.856513617229666,-30.88002239971803,33.44945030635181,33.44945030635181,1150.1254144338343,333.21125196309845,13.645976011917128,-27.721424001441335,30.89805835300182,-2.551391953349988
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.6229248046875,391.8126983642578,0.0,0.0,0.0,0.0,1136.4794384219172,360.9326759645398,12.856513617229666,-30.88002239971803,33.44945030635181,33.44945030635181,1150.1254144338343,333.21125196309845,13.645976011917128,-27.721424001441335,30.89805835300182,-2.551391953349988,1165.651939144374,307.52036914489037,15.526524710539661,-25.69088281820808,30.018234950874408,-0.8798234021274105
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.6229248046875,391.8126983642578,0.0,0.0,0.0,0.0,1136.4794384219172,360.9326759645398,12.856513617229666,-30.88002239971803,33.44945030635181,33.44945030635181,1150.1254144338343,333.21125196309845,13.645976011917128,-27.721424001441335,30.89805835300182,-2.551391953349988,1165.651939144374,307.52036914489037,15.526524710539661,-25.69088281820808,30.018234950874408,-0.8798234021274105,1180.3676120640166,284.21187264167673,14.715672919642657,-23.308496503213632,27.565141732235414,-2.453093218638994
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.6229248046875,391.8126983642578,0.0,0.0,0.0,0.0,1136.4794384219172,360.9326759645398,12.856513617229666,-30.88002239971803,33.44945030635181,33.44945030635181,1150.1254144338343,333.21125196309845,13.645976011917128,-27.721424001441335,30.89805835300182,-2.551391953349988,1165.651939144374,307.52036914489037,15.526524710539661,-25.69088281820808,30.018234950874408,-0.8798234021274105,1180.3676120640166,284.21187264167673,14.715672919642657,-23.308496503213632,27.565141732235414,-2.453093218638994,1193.2254878607023,263.07872719127397,12.857875796685676,-21.133145450402765,24.737316075736153,-2.827825656499261
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.6229248046875,391.8126983642578,0.0,0.0,0.0,0.0,1136.4794384219172,360.9326759645398,12.856513617229666,-30.88002239971803,33.44945030635181,33.44945030635181,1150.1254144338343,333.21125196309845,13.645976011917128,-27.721424001441335,30.89805835300182,-2.551391953349988,1165.651939144374,307.52036914489037,15.526524710539661,-25.69088281820808,30.018234950874408,-0.8798234021274105,1180.3676120640166,284.21187264167673,14.715672919642657,-23.308496503213632,27.565141732235414,-2.453093218638994,1193.2254878607023,263.07872719127397,12.857875796685676,-21.133145450402765,24.737316075736153,-2.827825656499261,1205.2650802716769,244.48724953508105,12.039592410974592,-18.59147765619292,22.149375315415053,-2.5879407603211
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.6229248046875,391.8126983642578,0.0,0.0,0.0,0.0,1136.4794384219172,360.9326759645398,12.856513617229666,-30.88002239971803,33.44945030635181,33.44945030635181,1150.1254144338343,333.21125196309845,13.645976011917128,-27.721424001441335,30.89805835300182,-2.551391953349988,1165.651939144374,307.52036914489037,15.526524710539661,-25.69088281820808,30.018234950874408,-0.8798234021274105,1180.3676120640166,284.21187264167673,14.715672919642657,-23.308496503213632,27.565141732235414,-2.453093218638994,1193.2254878607023,263.07872719127397,12.857875796685676,-21.133145450402765,24.737316075736153,-2.827825656499261,1205.2650802716769,244.48724953508105,12.039592410974592,-18.59147765619292,22.149375315415053,-2.5879407603211,1216.9649929349991,226.44650201818845,11.699912663322266,-18.040747516892594,21.502477236300823,-0.64689807911423
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.6229248046875,391.8126983642578,0.0,0.0,0.0,0.0,1136.4794384219172,360.9326759645398,12.856513617229666,-30.88002239971803,33.44945030635181,33.44945030635181,1150.1254144338343,333.21125196309845,13.645976011917128,-27.721424001441335,30.89805835300182,-2.551391953349988,1165.651939144374,307.52036914489037,15.526524710539661,-25.69088281820808,30.018234950874408,-0.8798234021274105,1180.3676120640166,284.21187264167673,14.715672919642657,-23.308496503213632,27.565141732235414,-2.453093218638994,1193.2254878607023,263.07872719127397,12.857875796685676,-21.133145450402765,24.737316075736153,-2.827825656499261,1205.2650802716769,244.48724953508105,12.039592410974592,-18.59147765619292,22.149375315415053,-2.5879407603211,1216.9649929349991,226.44650201818845,11.699912663322266,-18.040747516892594,21.502477236300823,-0.64689807911423,1228.762599720714,211.19642946159047,11.797606785714834,-15.250072556597985,19.280773813616705,-2.2217034226841186
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.6229248046875,391.8126983642578,0.0,0.0,0.0,0.0,1136.4794384219172,360.9326759645398,12.856513617229666,-30.88002239971803,33.44945030635181,33.44945030635181,1150.1254144338343,333.21125196309845,13.645976011917128,-27.721424001441335,30.89805835300182,-2.551391953349988,1165.651939144374,307.52036914489037,15.526524710539661,-25.69088281820808,30.018234950874408,-0.8798234021274105,1180.3676120640166,284.21187264167673,14.715672919642657,-23.308496503213632,27.565141732235414,-2.453093218638994,1193.2254878607023,263.07872719127397,12.857875796685676,-21.133145450402765,24.737316075736153,-2.827825656499261,1205.2650802716769,244.48724953508105,12.039592410974592,-18.59147765619292,22.149375315415053,-2.5879407603211,1216.9649929349991,226.44650201818845,11.699912663322266,-18.040747516892594,21.502477236300823,-0.64689807911423,1228.762599720714,211.19642946159047,11.797606785714834,-15.250072556597985,19.280773813616705,-2.2217034226841186,1240.1208338915824,198.00090179427514,11.3582341708684,-13.195527667315332,17.410670116315654,-1.870103697301051
